noise_axis,noise_value,runtime_sec,gicp_x,gicp_y,gicp_z,gicp_roll_deg,gicp_pitch_deg,gicp_yaw_deg,error_x,error_y,error_z,error_roll,error_pitch,error_yaw,mahalanobis_distance,min_eigenvalue
Z,0.44999999999999973,0.02733321000050637,0.012912493161264681,0.016697152826262992,-0.41774718308619596,0.107519017622882,0.15373929536077707,-0.039452807294403494,-0.014021867973420966,-0.015922150981280185,0.4177416769910087,-0.10762524108436917,-0.15366495240657835,0.039741381386437895,20096043.948206134,43724.38103522304
Z,0.4999999999999998,0.027706543001841055,0.013779360925233937,0.015647830525395548,-0.46421392782242027,0.0880075156162517,0.17067299951381193,-0.04467210741423781,-0.015149896519541314,-0.014945574858071024,0.46419436295541927,-0.08814094892293461,-0.17060412873646066,0.04493441071875759,24644588.564721107,44945.49767288734
Roll,-2.0,0.02755618699666229,0.016226392640131468,0.016789192381012147,0.03179211803385405,2.1066051008268407,0.15141115314128814,-0.044254494007906396,-0.01612934895149291,-0.017960579744182834,-0.03119572479764945,-2.1067286122762354,-0.1496820259912312,0.04979045803671077,170792.29216288184,46898.216977267984
Roll,-1.9,0.026880998997512506,0.018140218152548234,0.019007373785242476,0.029998996369357052,2.0074257704938514,0.14170254273513425,-0.043452389836239454,-0.01805154983274345,-0.02006185484566628,-0.02935900347065711,-2.007538661721668,-0.14009343918958037,0.04838956408988242,166413.6142011794,45888.4683150793
Roll,-1.7999999999999998,0.026796912999998312,0.01649901191327725,0.01725088912598447,0.029973041871462235,1.9067834094942147,0.1426363191850812,-0.04339501331631494,-0.016411273503749196,-0.018252491960524656,-0.0294229578390077,-1.9068966786094421,-0.14111338954763572,0.04811713637454044,157686.35805827013,44659.409507925804
Roll,-1.6999999999999997,0.02946702000190271,0.015721532426631355,0.018781167607134983,0.034857671145976044,1.8113151431842809,0.16602353666606148,-0.042942007221283614,-0.015606380525127634,-0.01988677559250487,-0.03429158963489733,-1.8114465412698562,-0.1645832113031984,0.0481684387227224,200363.2302717688,44281.36981717481
Roll,-1.5999999999999996,0.026528687001700746,0.014523908069253565,0.017339872189399565,0.032621015756177776,1.70600408218795,0.15456168263733444,-0.03597167031164744,-0.014424967331825356,-0.018313619128497508,-0.03212907427869252,-1.7061069016608819,-0.1534222259302668,0.04055731978257448,175075.80939499213,44296.82445814313
Roll,-1.4999999999999996,0.029427581001073122,0.019081425630111306,0.019618088354380652,0.0311427499609349,1.628433383187347,0.14293075355300627,-0.04586021917988535,-0.018987968640792306,-0.02051177995183296,-0.030619683211799194,-1.6285522373544472,-0.14156973730182226,0.04990360908843412,176451.91452112125,43550.36412558848
Roll,-1.3999999999999995,0.028991671999392565,0.0188850675877559,0.019726662893846763,0.03418403895580738,1.5288174893518973,0.15797573436216159,-0.04649633166695121,-0.018774729183874295,-0.020648359977257277,-0.03369703696729898,-1.5289509031627957,-0.15667893376589107,0.050694715180695446,198510.7126316277,44837.14540708178
Roll,-1.2999999999999994,0.026559273999737343,0.015907647803024647,0.016480347115193368,0.033087890131473674,1.421666220011904,0.15258802989993153,-0.037500280795015266,-0.015808683222307145,-0.017307643965314742,-0.03271077143941211,-1.4217707632495888,-0.15161063430335897,0.04127461866653848,174402.07342816933,46308.77998363212
